sr_number,sr_type,sr_short_code,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,community_area,ward,police_sector,police_district,police_beat,precinct,created_hour,created_day_of_week,created_month,x_coordinate,y_coordinate,latitude,longitude,location,created_department,electricity_grid,parent_sr_number,TIME_TO_CLOSE
SR23-01739566,Rodent Baiting/Rat Complaint,SGA,Streets and Sanitation,Completed,Mobile Device,2023-10-09 12:35:18,2023-11-02T10:19:50.000,2023-11-02 10:19:50,940 S ADA ST,,,,940,S,ADA,ST,False,False,28,28,3,12,1231,28,12,2,10,1167593.201983333,1895905.047544768,41.869920485,-87.660189848,"{'latitude': '41.86992048461652', 'longitude': '-87.66018984757314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,M024,,573.7422222222223
SR23-01727688,Abandoned Vehicle Complaint,SKA,Streets and Sanitation,Completed,Phone Call,2023-10-06 17:16:13,2023-10-12T07:57:56.000,2023-10-12 07:57:56,8016 S WOODLAWN AVE,Chicago,Illinois,60619,8016,S,WOODLAWN,AVE,False,False,45,8,1,04,0411,44,17,6,10,1185529.12128453,1851987.229977921,41.749002001,-87.5957265,"{'latitude': '41.74900200093995', 'longitude': '-87.5957265000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,S041,,134.6952777777778
SR23-01730132,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-07 11:09:37,2023-10-07T11:31:02.000,2023-10-07 11:09:38,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,11,7,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01880993,Cable TV Complaint,OCC,BACP - Business Affairs and Consumer Protection,Open,Phone Call,2023-10-30 08:28:25,2023-11-02T14:00:06.000,,3006 W TOUHY AVE,Chicago,Illinois,60645,3006,W,TOUHY,AVE,False,False,2,50,1,24,2411,5,8,2,10,1155043.784183653,1947662.331214302,42.012207001,-87.7048695,"{'latitude': '42.0122070009409', 'longitude': '-87.70486950000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,I004,,
SR23-01780877,Tree Emergency,SEC,Streets and Sanitation,Completed,Phone Call,2023-10-15 22:31:52,2023-10-16T10:43:00.000,2023-10-16 10:43:00,7931 S DOBSON AVE,Chicago,Illinois,60619,7931,S,DOBSON,AVE,False,False,44,8,2,06,0624,54,22,1,10,1184618.299258603,1852495.831143864,41.750419033,-87.599048153,"{'latitude': '41.75041903280311', 'longitude': '-87.59904815271352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,S041,,12.185555555555556
SR23-01780783,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Completed,Internet,2023-10-15 21:50:56,2023-10-26T07:22:53.000,2023-10-26 07:22:53,3455 W 115TH ST,Chicago,Illinois,60655,3455,W,115TH,ST,False,False,74,19,1,22,2211,15,21,1,10,1155176.692263869,1828044.49285064,41.683959001,-87.7075875,"{'latitude': '41.68395900093975', 'longitude': '-87.7075875000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,H050,,249.5325
SR23-01740645,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-09 14:55:35,2023-10-09T15:32:14.000,2023-10-09 14:55:35,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,14,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01725905,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-06 13:36:17,2023-10-06T14:31:47.000,2023-10-06 13:36:17,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01821595,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-10-20 12:24:21,2023-10-20T12:24:26.000,2023-10-20 12:24:26,734 N CENTRAL AVE,Chicago,Illinois,60644,734,N,CENTRAL,AVE,False,False,25,29,1,15,1511,35,12,6,10,1138803.437302438,1904501.808460209,41.894082001,-87.765678,"{'latitude': '41.894082000940486', 'longitude': '-87.76567800000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,B021,,0.001388888888888889
SR23-01725084,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-06 12:13:39,2023-10-06T12:30:59.000,2023-10-06 12:13:40,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,12,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01880063,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-29 23:53:05,2023-10-30T00:30:43.000,2023-10-29 23:53:06,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,23,1,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0002777777777777778
SR23-01917506,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-04 14:14:34,2023-11-04T14:32:07.000,2023-11-04 14:14:35,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,25,28,1,11,1113,40,14,7,11,1144390.079804717,1899592.071907612,41.880505846,-87.745283345,"{'latitude': '41.88050584578365', 'longitude': '-87.7452833447065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,D023,,0.0002777777777777778
SR23-01922315,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-05 16:55:34,2023-11-05T17:31:14.000,2023-11-05 16:55:34,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,16,1,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01892896,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-31 17:50:53,2023-10-31T18:30:56.000,2023-10-31 17:50:54,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,17,3,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01923558,Street Light Out Complaint,SFD,CDOT - Department of Transportation,Completed,Mobile Device,2023-11-05 22:42:24,2023-11-18T11:52:09.000,2023-11-18 11:52:09,6441 N NEW ENGLAND AVE,,,,6441,N,NEW ENGLAND,AVE,False,False,10,41,1,16,1611,11,22,1,11,1129776.775914813,1943000.53435728,41.999886001,-87.7979475,"{'latitude': '41.99988600094085', 'longitude': '-87.79794750000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Y106,,301.1625
SR23-01926727,Blue Recycling Cart,SRRC,Streets and Sanitation,Canceled,Alderman's Office,2023-11-06 11:46:51,2023-11-21T12:41:55.000,2023-11-21 12:41:55,6539 S LANGLEY AVE,Chicago,Illinois,60637,6539,S,LANGLEY,AVE,False,False,42,20,2,03,0321,18,11,2,11,1182115.821742104,1861663.02963902,41.775633001,-87.607935,"{'latitude': '41.77563300094009', 'longitude': '-87.6079350000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Alderman,R037,,360.91777777777776
SR23-01922868,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-05 19:29:02,2023-11-05T19:31:04.000,2023-11-05 19:29:02,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,19,1,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01930302,Buildings - Plumbing Violation,BBC,DOB - Buildings,Open,Phone Call,2023-11-06 20:58:05,2023-11-06T20:58:07.000,,5640 S LOOMIS ST,Chicago,Illinois,60636,5640,S,LOOMIS,ST,False,False,67,16,1,07,0713,20,20,2,11,1167889.784637283,1867168.814009941,41.791059001,-87.659928,"{'latitude': '41.79105900094013', 'longitude': '-87.65992800000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,M035,,
SR23-01890848,City Vehicle Sticker Violation,QAC,City Clerk's Office,Completed,Internet,2023-10-31 13:11:58,2023-11-14T12:34:22.000,2023-11-14 12:34:22,4819 N MOBILE AVE,Chicago,Illinois,60630,4819,N,MOBILE,AVE,False,False,11,45,2,16,1622,27,13,3,10,1133284.581572983,1931779.662097931,41.969034001,-87.785307,"{'latitude': '41.96903400094074', 'longitude': '-87.78530700000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,A010,,335.37333333333333
SR23-01904480,Sewer Cleaning Inspection Request,CHECKFOR,DWM - Department of Water Management,Completed,Alderman's Office,2023-11-02 13:03:51,2023-11-09T09:37:44.000,2023-11-09 09:37:44,4533 S MICHIGAN AVE,Chicago,Illinois,60653,4533,S,MICHIGAN,AVE,False,False,38,3,1,02,0215,15,13,5,11,1178030.05204357,1874938.222019959,41.812155001,-87.6225105,"{'latitude': '41.812155000940216', 'longitude': '-87.62251050000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Q032,,164.56472222222223
SR23-01806708,Street Light Out Complaint,SFD,CDOT - Department of Transportation,Completed,Phone Call,2023-10-18 19:51:48,2023-10-20T06:00:54.000,2023-10-20 06:00:54,8204 S ALBANY AVE,Chicago,Illinois,60652,8204,S,ALBANY,AVE,False,False,70,18,3,08,0835,35,19,4,10,1157062.073654097,1849982.859541044,41.744124001,-87.700095,"{'latitude': '41.744124000939955', 'longitude': '-87.70009500000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,I041,,34.151666666666664
SR23-01696701,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Phone Call,2023-10-02 15:48:10,2023-10-03T07:47:39.000,2023-10-03 07:47:39,458 W 33RD ST,Chicago,Illinois,60616,458,W,33RD,ST,False,False,60,11,1,09,0915,20,15,2,10,1173709.258276414,1883108.876717982,41.834673001,-87.6381165,"{'latitude': '41.834673000940306', 'longitude': '-87.63811650000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,O029,,15.991388888888888
SR23-01741573,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-09 17:45:26,2023-10-09T18:31:10.000,2023-10-09 17:45:26,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,17,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01740119,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-09 13:45:53,2023-10-09T14:31:46.000,2023-10-09 13:45:54,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,13,2,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0002777777777777778
SR23-01772979,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-14 08:09:46,2023-10-14T08:30:58.000,2023-10-14 08:09:47,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,8,7,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0002777777777777778
SR23-01922648,Inspect Public Way Request,PBD,CDOT - Department of Transportation,Completed,Phone Call,2023-11-05 18:25:04,2023-11-06T10:40:21.000,2023-11-06 10:40:21,7100 S STATE ST,Chicago,Illinois,60619,7100,S,STATE,ST,True,False,69,6,2,03,0323,47,18,1,11,1177500.925675132,1857897.555407629,41.765405705,-87.624966296,"{'latitude': '41.7654057052415', 'longitude': '-87.62496629570049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,P039,SR23-01901305,16.254722222222224
SR23-01835884,Building Violation,BBA,DOB - Buildings,Completed,Phone Call,2023-10-23 10:42:25,2023-11-18T13:47:50.000,2023-11-18 13:47:49,1909 W GRAND AVE,Chicago,Illinois,60622,1909,W,GRAND,AVE,False,False,24,27,2,12,1221,39,10,2,10,1163553.338037056,1903425.785526518,41.890644001,-87.6748095,"{'latitude': '41.89064400094047', 'longitude': '-87.67480950000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,L021,,627.09
SR23-01710673,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-10-04 13:09:00,2023-10-04T13:09:07.000,2023-10-04 13:09:07,10426 S AVENUE  F,Chicago,Illinois,60617,10426,S,AVENUE  F,,False,False,52,10,3,04,0432,29,13,4,10,1203409.825066641,1836309.169022468,41.705541001,-87.530742,"{'latitude': '41.70554100093982', 'longitude': '-87.53074200000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Y047,,0.0019444444444444444
SR23-01919202,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-04 23:53:30,2023-11-05T00:30:39.000,2023-11-04 23:53:31,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,23,7,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01734031,Tree Planting Request,SED,Streets and Sanitation,Open,Internet,2023-10-08 10:36:51,2023-10-08T10:36:54.000,,2749 S HARDING AVE,Chicago,Illinois,60623,2749,S,HARDING,AVE,False,False,30,22,3,10,1031,3,10,1,10,1150561.871023102,1885241.907941249,41.841009001,-87.7229955,"{'latitude': '41.841009000940325', 'longitude': '-87.72299550000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,G028,,
SR23-01907720,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-02 22:00:25,2023-11-02T22:30:55.000,2023-11-02 22:00:25,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,22,5,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01880818,Check for Leak,WM3,DWM - Department of Water Management,Completed,Phone Call,2023-10-30 08:07:44,2023-11-02T12:43:05.000,2023-11-02 12:43:05,1905 W MONTROSE AVE,Chicago,Illinois,60613,1905,W,MONTROSE,AVE,True,False,5,47,1,19,1912,37,8,2,10,1162916.362850134,1929150.992722956,41.961249001,-87.676425,"{'latitude': '41.96124900094073', 'longitude': '-87.6764250000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,L012,SR23-01876900,76.58916666666667
SR23-01848900,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-25 06:19:47,2023-10-25T06:30:38.000,2023-10-25 06:19:47,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,6,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01835091,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-23 09:31:15,2023-10-23T10:31:38.000,2023-10-23 09:31:15,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,9,2,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01933546,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-07 11:22:29,2023-11-07T11:32:33.000,2023-11-07 11:22:30,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,11,3,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01832191,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-22 16:06:42,2023-10-22T16:30:57.000,2023-10-22 16:06:42,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,16,1,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01732368,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-07 21:12:08,2023-10-07T21:30:48.000,2023-10-07 21:12:08,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,21,7,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01730738,Vehicle Parked in Bike Lane Complaint,VBL,Finance,Completed,Mobile Device,2023-10-07 13:02:10,2023-10-07T13:02:12.000,2023-10-07 13:02:10,4454 N ELSTON AVE,,,,4454,N,ELSTON,AVE,False,False,16,39,2,17,1722,19,13,7,10,1147934.267689248,1929250.858486399,41.961825001,-87.731505,"{'latitude': '41.961825000940735', 'longitude': '-87.73150500000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,F011,,0.0
SR23-01826319,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-21 10:04:26,2023-10-21T10:31:17.000,2023-10-21 10:04:26,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,10,7,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01729434,Garbage Cart Maintenance,SIE,Streets and Sanitation,Completed,Internet,2023-10-07 08:54:31,2023-10-25T12:26:58.000,2023-10-25 12:26:58,1042 N ST LOUIS AVE,Chicago,Illinois,60651,1042,N,ST LOUIS,AVE,False,False,23,36,2,11,1121,29,8,7,10,1152773.555481466,1906907.36762261,41.900418001,-87.714306,"{'latitude': '41.900418000940505', 'longitude': '-87.7143060000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,H020,,435.54083333333335
SR23-01754159,Street Light Out Complaint,SFD,CDOT - Department of Transportation,Completed,Phone Call,2023-10-11 12:38:24,2023-10-18T14:22:54.000,2023-10-18 14:22:54,3705 W HAYFORD ST,Chicago,Illinois,60652,3705,W,HAYFORD,ST,False,False,70,18,3,08,0833,45,12,4,10,1153076.444187836,1854135.462855113,41.755599001,-87.7145895,"{'latitude': '41.755599000939995', 'longitude': '-87.71458950000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CDOT - Department of Transportation,G040,,169.74166666666667
SR23-01702369,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-03 12:12:01,2023-10-03T12:31:54.000,2023-10-03 12:12:01,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,12,3,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01905912,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-02 15:21:30,2023-11-02T15:32:44.000,2023-11-02 15:21:30,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,15,5,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01712183,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-04 15:27:23,2023-10-04T15:32:12.000,2023-10-04 15:27:24,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,15,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01855075,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-25 16:31:43,2023-10-25T17:30:40.000,2023-10-25 16:31:43,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,16,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01850266,Low Water Pressure Complaint,WBK,DWM - Department of Water Management,Completed,Internet,2023-10-25 09:24:57,2023-10-25T19:52:52.000,2023-10-25 19:52:52,2113 N NARRAGANSETT AVE,Chicago,Illinois,60639,2113,N,NARRAGANSETT,AVE,False,False,19,36,1,25,2512,2,9,4,10,1133472.888131115,1913437.213077341,41.918697001,-87.785046,"{'latitude': '41.91869700094058', 'longitude': '-87.78504600000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,A017,,10.465277777777779
SR23-01793885,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Completed,Phone Call,2023-10-17 12:47:14,2023-10-17T12:47:45.000,2023-10-17 12:47:45,2743 W WILSON AVE,Chicago,Illinois,60625,2743,W,WILSON,AVE,False,False,14,40,2,17,1724,24,12,3,10,1157097.449714452,1930323.921016427,41.964588001,-87.6977865,"{'latitude': '41.964588000940715', 'longitude': '-87.69778650000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CDOT - Department of Transportation,J011,,0.008611111111111111
SR23-01718466,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-05 13:49:10,2023-10-05T14:31:24.000,2023-10-05 13:49:11,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,13,5,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0002777777777777778
SR23-01917185,Check for Leak,WM3,DWM - Department of Water Management,Canceled,Phone Call,2023-11-04 13:19:57,2023-11-04T13:31:42.000,2023-11-04 13:31:42,3214 N OSCEOLA AVE,Chicago,Illinois,60634,3214,N,OSCEOLA,AVE,False,False,17,29,3,16,1631,32,13,7,11,1125783.215837263,1920601.440151303,41.938488001,-87.8131395,"{'latitude': '41.938488000940644', 'longitude': '-87.81313950000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,X114,,0.19583333333333333
SR23-01844638,Inspect Public Way Request,PBD,CDOT - Department of Transportation,Completed,Alderman's Office,2023-10-24 12:33:12,2023-10-30T10:43:13.000,2023-10-30 10:43:13,2610 W LOGAN BLVD,Chicago,Illinois,60647,2610,W,LOGAN,BLVD,False,False,22,1,1,14,1411,43,12,3,10,1158191.443827214,1917383.379439356,41.929056001,-87.694119,"{'latitude': '41.92905600094063', 'longitude': '-87.69411900000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Alderman,J016,,142.16694444444445
SR23-01884641,Buildings - Plumbing Violation,BBC,DOB - Buildings,Open,Phone Call,2023-10-30 14:19:51,2023-10-30T14:19:52.000,,2928 S ARCHER AVE,Chicago,Illinois,60608,2928,S,ARCHER,AVE,False,False,60,11,1,09,0913,1,14,2,10,1168055.469832688,1885615.461021016,41.841675001,-87.6587895,"{'latitude': '41.84167500094032', 'longitude': '-87.65878950000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,M028,,
SR23-01774827,Abandoned Vehicle Complaint,SKA,Streets and Sanitation,Completed,Internet,2023-10-14 15:07:01,2023-10-19T11:20:52.000,2023-10-19 11:20:51,3250 W 112TH PL,Chicago,Illinois,60655,3250,W,112TH,PL,False,False,74,19,1,22,2211,21,15,7,10,1156480.55045115,1829838.075810189,41.688854851,-87.702766377,"{'latitude': '41.68885485095263', 'longitude': '-87.70276637670217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,H049,,116.23055555555555
